node1,node2,time,line,color
208,209,120,4_6,black
208,207,120,4_13,black
209,208,120,6_4,black
209,207,120,6_13,black
209,206,120,6_12,black
212,214,120,1_6,black
212,213,120,1_2,black
212,215,120,1_9,black
213,214,120,2_6,black
213,215,120,2_9,black
213,212,120,2_1,black
214,212,120,6_1,black
214,215,120,6_9,black
214,213,120,6_2,black
215,214,120,9_6,black
215,213,120,9_2,black
215,212,120,9_1,black
219,220,120,5_9,black
220,219,120,9_5,black
221,222,120,10_4,black
222,221,120,4_10,black
223,225,120,3_8,black
223,224,120,3_7,black
224,225,120,7_8,black
224,223,120,7_3,black
225,223,120,8_3,black
225,224,120,8_7,black
227,228,120,1_7,black
228,227,120,7_1,black
231,232,120,12_6,black
232,231,120,6_12,black
238,239,120,12_2,black
239,238,120,2_12,black
242,244,120,5_7,black
242,243,120,5_6,black
243,244,120,6_7,black
243,242,120,6_5,black
244,242,120,7_5,black
244,243,120,7_6,black
245,246,120,13_2,black
246,245,120,2_13,black
278,279,120,11_3b,black
279,278,120,3b_11,black
281,282,120,14_7,black
282,281,120,7_14,black
284,285,120,2_3,black
285,284,120,3_2,black
292,293,120,4_6,black
293,292,120,6_4,black
295,296,120,1_8,black
296,295,120,8_1,black
298,299,120,8_9,black
299,298,120,9_8,black
303,304,120,8_9,black
304,303,120,9_8,black
309,310,120,3_4,black
310,309,120,4_3,black
311,313,120,11_5,black
311,312,120,11_3,black
311,314,120,11_8,black
311,315,120,11_9,black
312,313,120,3_5,black
312,314,120,3_8,black
312,315,120,3_9,black
312,311,120,3_11,black
313,311,120,5_11,black
313,314,120,5_8,black
313,315,120,5_9,black
313,312,120,5_3,black
314,315,120,8_9,black
314,313,120,8_5,black
314,312,120,8_3,black
314,311,120,8_11,black
315,314,120,9_8,black
315,313,120,9_5,black
315,312,120,9_3,black
315,311,120,9_11,black
325,327,120,12_3,black
325,326,120,12_13,black
326,327,120,13_3,black
326,325,120,13_12,black
327,325,120,3_12,black
327,326,120,3_13,black
339,341,120,2_7,black
339,340,120,2_5,black
340,341,120,5_7,black
340,339,120,5_2,black
341,339,120,7_2,black
341,340,120,7_5,black
342,344,120,4_9,black
342,343,120,4_8,black
343,344,120,8_9,black
343,342,120,8_4,black
344,342,120,9_4,black
344,343,120,9_8,black
346,347,120,10_12,black
347,346,120,12_10,black
354,355,120,6_9,black
355,354,120,9_6,black
366,367,120,2_3,black
367,366,120,3_2,black
